Computer Name,Logged On Users,Operating System,Domain,Missing OS Patches,Missing TP Patches,Missing Driver Patches,Missing BIOS Patches,Health,Service Pack,Remarks,Last Patched Time
5B9W7G3-,flor.ramirez,Windows 10 Professional Edition (x64),cementation,2,2,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Mar 3, 2025 03:40 PM"
5CN4NN3,hector.godoy,Windows 10 Professional Edition (x64),cementation,4,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Nov 27, 2024 10:08 AM"
5HFXVT2,john.davis,Windows 10 Professional Edition (x64),cementation,2,1,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Mar 3, 2025 11:36 AM"
5MWKXT2,cameron.leggett,Windows 10 Professional Edition (x64),cementation,6,3,0,0,Vulnerable,Windows 10 Version 21H2 (x64),'--,"Nov 30, 2024 08:33 AM"
5MYJRW3,'--,Windows 11 Professional Edition (x64),cementation,4,3,0,0,Highly Vulnerable,Windows 11 Version 23H2 (x64),'--,"Jan 28, 2025 02:39 PM"
5W30VQ3,josh.bettiol,Windows 10 Professional Edition (x64),cementation,5,4,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 27, 2025 08:39 AM"
62LDJG3,kalan.marshall,Windows 10 Professional Edition (x64),cementation,6,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Mar 4, 2025 01:36 PM"
63226M3,matt.leroux,Windows 10 Professional Edition (x64),cementation,5,2,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Mar 3, 2025 02:58 PM"
63L26M3,robert.brooks,Windows 10 Professional Edition (x64),cementation,0,0,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Mar 19, 2025 08:19 AM"
656FWG3,mark.jenkinson,Windows 10 Professional Edition (x64),cementation,2,2,0,0,Vulnerable,Windows 10 Version 22H2 (x64),'--,"Mar 6, 2025 06:26 PM"
65VTRQ3,david.bouffard,Windows 10 Professional Edition (x64),cementation,6,1,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 24, 2025 01:10 PM"
661TSX1,'--,Windows 10 Professional Edition (x64),cementation,13,1,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Jan 28, 2025 02:50 PM"
679L5S2-,sean.richards,Windows 10 Professional Edition (x64),cementation,6,1,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 24, 2025 12:45 PM"
6DYV6S2,Administrator,Windows 10 Professional Edition (x64),cementation,5,4,0,0,Highly Vulnerable,Windows 10 Version 21H2 (x64),'--,"Mar 11, 2025 03:54 PM"
6FNDRQ2,mechanics,Windows 10 Professional Edition (x64),cementation,7,2,0,0,Highly Vulnerable,Windows 10 Version 21H2 (x64),'--,"Dec 17, 2024 10:25 AM"
6FZS3X2,ray.neufeld,Windows 10 Professional Edition (x64),cementation,10,3,0,0,Highly Vulnerable,Windows 10 Version 21H2 (x64),"Deployment Failed for some patches, Requires Reboot","Mar 4, 2025 10:14 AM"
6MW16M3,'--,Windows 10 Professional Edition (x64),cementation,13,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 24, 2025 01:40 PM"
6QZ26M3,andrew.roszkowski,Windows 10 Professional Edition (x64),cementation,3,5,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 26, 2025 11:56 AM"
6TF17M3,eric.pilon,Windows 10 Professional Edition (x64),cementation,7,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 25, 2025 08:35 AM"
6ZTTRQ3,matthew.hallett,Windows 10 Professional Edition (x64),cementation,11,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 24, 2025 12:15 PM"
72L8043,'--,Windows 10 Professional Edition (x64),TEST,1,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,'--
72LDJG3,kirby.preston,Windows 10 Professional Edition (x64),cementation,2,4,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 25, 2025 09:19 AM"
74L8043,tim.swinburnson,Windows 10 Professional Edition (x64),cementation,5,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Mar 5, 2025 09:31 AM"
756FWG3,'--,Windows 10 Professional Edition (x64),cementation,2,0,0,0,Healthy,Windows 10 Version 22H2 (x64),'--,"Oct 2, 2024 10:05 PM"
75DC043,penny.english,Windows 10 Professional Edition (x64),cementation,2,4,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 25, 2025 08:09 AM"
76DK4B3,'--,Windows 10 Professional Edition (x64),cementation,2,2,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 25, 2025 12:25 PM"
773TRQ3,'--,Windows 10 Professional Edition (x64),cementation,11,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 13, 2025 01:06 PM"
7FXXFK3-2,andres.hernandez,Windows 10 Professional Edition (x64),cementation,6,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 26, 2025 10:43 AM"
7KMWRQ3,'--,Windows 10 Professional Edition (x64),cementation,1,1,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Jun 17, 2024 02:16 PM"
7TJJFW3,kevin.franko,Windows 11 Professional Edition (x64),cementation,4,3,0,0,Highly Vulnerable,Windows 11 Version 23H2 (x64),'--,"Dec 11, 2024 12:54 PM"
7V25DH2,derek.bolton,Windows 10 Professional Edition (x64),cementation,1,0,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Sep 26, 2024 03:05 PM"
7VBJ362,'--,Windows 10 Professional Edition (x64),cementation,0,1,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"May 30, 2024 10:26 AM"
7X0MSQ3,'--,Windows 10 Professional Edition (x64),cementation,6,2,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Nov 26, 2024 10:07 AM"
7XBNNN2,'--,Windows 10 Professional Edition (x64),cementation,18,1,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Jan 2, 2025 08:51 AM"
7ZRCV93,dave.flora,Windows 10 Professional Edition (x64),cementation,1,2,0,0,Vulnerable,Windows 10 Version 22H2 (x64),'--,"Nov 26, 2024 09:36 AM"
80KJFW3,'--,Windows 11 Professional Edition (x64),cementation,8,4,0,0,Highly Vulnerable,Windows 11 Version 23H2 (x64),'--,"Nov 26, 2024 02:54 PM"
81ZTHR2,norm.charron,Windows 10 Professional Edition (x64),cementation,13,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Mar 3, 2025 08:38 AM"
85L6Y33,adrian.huestis,Windows 11 Professional Edition (x64),cementation,5,11,0,0,Highly Vulnerable,Windows 11 Version 24H2 (x64),'--,"Jan 6, 2025 10:45 AM"
87RF1Z2,chris.robertson,Windows 10 Professional Edition (x64),cementation,8,1,0,0,Vulnerable,Windows 10 Version 21H2 (x64),'--,"Jan 4, 2025 10:04 AM"
8GY50J3,nicholas.jakelski,Windows 10 Professional Edition (x64),cementation,3,3,0,0,Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 24, 2025 04:44 PM"
8J5TSX1,nbshop.employees,Windows 10 Professional Edition (x64),cementation,2,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 24, 2025 12:39 PM"
8JY50J3,kyle.burt,Windows 10 Professional Edition (x64),cementation,2,2,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Nov 27, 2024 03:00 PM"
8MNPMV2,mike.fleury,Windows 10 Professional Edition (x64),cementation,14,1,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Mar 6, 2025 09:25 AM"
8MQC1Z2,'--,Windows 10 Professional Edition (x64),cementation,2,2,0,0,Vulnerable,Windows 10 Version 21H2 (x64),'--,"Nov 19, 2024 08:04 AM"
8RR8043,oscar.quenneville,Windows 10 Professional Edition (x64),cementation,2,2,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 24, 2025 12:58 PM"
902Q6G3,danny.antonacci,Windows 10 Professional Edition (x64),cementation,6,0,0,0,Healthy,Windows 10 Version 22H2 (x64),'--,"Jul 29, 2024 07:19 PM"
91RJJR2,peter.muzerall,Windows 10 Professional Edition (x64),cementation,2,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Jan 28, 2025 02:20 PM"
922Q6G3,john.cooney,Windows 10 Professional Edition (x64),cementation,2,1,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 25, 2025 08:38 AM"
943TRQ3,joshua.debenedet,Windows 10 Professional Edition (x64),cementation,3,6,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),Deployment Failed,"Feb 24, 2025 01:21 PM"
956FWG3,michelle.highfield,Windows 10 Professional Edition (x64),cementation,4,3,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),'--,"Feb 14, 2025 01:46 PM"
95718G3,james.reimers,Windows 10 Professional Edition (x64),cementation,2,0,0,0,Highly Vulnerable,Windows 10 Version 22H2 (x64),Deployment Failed,"Mar 17, 2025 01:17 PM"
